posted_date,current_price,original_price,changes_in_price,price,price_per_m2,times_in_sales
18-05-2018, 325.000, 325.000,-, 325.000, 7.222,1 maand
23-05-2018, 300.000, 300.000,-, 300.000, 5.556,1 maand
17-03-2018, 775.000, 775.000,-, 775.000, 5.827,3 maanden
08-05-2018, 68.000, 68.000,-, 68.000, 3.091,1 maand
28-05-2018, 350.000, 350.000,-, 350.000, 3.804,1 maand
29-06-2018, 290.000, 290.000,-, 290.000, 5.370,Nieuw
04-06-2018, 625.000, 625.000,-, 625.000, 6.510,26 dagen
30-06-2018, 220.000, 220.000,-, 220.000, 5.238,Nieuw
11-06-2018, 285.000, 285.000,-, 285.000, 4.130,19 dagen
24-06-2018, 425.000, 425.000,-, 425.000, 5.000,6 dagen
20-06-2018, 200.000, 200.000,-, 200.000, 3.077,10 dagen
13-06-2018, 275.000, 275.000,-, 275.000, 6.250,17 dagen
13-06-2018, 369.000, 375.000," -6.000 / -1,6%", 369.000, 5.952,17 dagen
07-06-2018, 345.000, 345.000,-, 345.000, 6.635,23 dagen
06-06-2018, 200.000, 200.000,-, 200.000, 4.348,24 dagen
18-05-2018, 739.000, 739.000,-, 739.000, 7.541,1 maand
09-05-2018, 475.000, 475.000,-, 475.000, 4.130,1 maand
13-06-2018, 275.000, 275.000,-, 275.000, 6.875,17 dagen
21-06-2018, 350.000, 350.000,-, 350.000, 3.804,9 dagen
21-06-2018, 319.000, 319.000,-, 319.000, 6.510,9 dagen
11-06-2018, 425.000, 425.000,-, 425.000, 5.449,19 dagen
29-05-2018, 715.000, 715.000,-, 715.000, 10.070,1 maand
23-06-2018, 325.000, 325.000,-, 325.000, 5.078,7 dagen
21-04-2018, 600.000, 600.000,-, 600.000, 5.556,2 maanden
26-05-2018, 1.250.000, 1.250.000,-, 1.250.000, 9.470,1 maand
30-06-2018, 375.000, 375.000,-,,,
01-05-2018, 750.000, 800.000," -50.000 / -6,3%", 750.000, 6.000,1 maand
27-06-2018, 275.000, 275.000,-, 275.000, 5.978,3 dagen
27-06-2018, 695.000, 695.000,-, 695.000, 7.809,3 dagen
22-05-2018, 825.000, 825.000,-, 825.000, 12.692,1 maand
22-06-2018, 335.000, 335.000,-, 335.000, 5.583,8 dagen
23-06-2018, 349.000, 349.000,-, 349.000, 5.540,7 dagen
31-03-2018, 420.000, 435.000," -15.000 / -3,4%", 420.000, 5.060,3 maanden
14-06-2018, 275.000, 275.000,-, 275.000, 5.392,16 dagen
10-05-2018, 295.000, 295.000,-, 295.000, 5.364,1 maand
