Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
-,2008,112 m²,363 m³,-,-,DubbelglasMuurDak,StadsverwarmingHete lucht,-,-,-,5,4,-,Luxe,Uitstekend,Uitstekend,-,BoomgaardWaterGroenvoorzieningen,Ja,-,73,4
Appartement,1961,81 m²,-,-,Lift,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,333,14
Eengezinswoning,1923,57 m²,207 m³,146 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,1.118,17
Woonboot,1961,64 m²,137 m³,1 m²,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,2.589,33
Appartement,2011,83 m²,-,80 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,189,6
Appartement,1935,59 m²,356 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,62,1
Appartement,2007,73 m²,280 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,83,1
Appartement,2006,102 m²,285 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,Ja,-,59,7
Benedenwoning,1960,69 m²,270 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,109,12
Appartement,2018,148 m²,-,1 m²,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,0,0
Bovenwoning,1928,192 m²,704 m³,-,-,-,-,-,-,-,8,6,-,-,-,-,-,-,-,-,305,6
Appartement,1999,88 m²,255 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,223,8
Appartement,1959,67 m²,225 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,Ja,-,101,7
Benedenwoning,1900,76 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,67,3
Appartement,1963,82 m²,260 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,374,8
Appartement,2010,92 m²,228 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,Ja,317,4
Eengezinswoning,1993,130 m²,445 m³,135 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,141,7
Appartement,2000,130 m²,374 m³,-,Lift,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,Ja,191,5
Bovenwoning,2008,89 m²,267 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,270,7
Appartement,1905,93 m²,-,-,-,-,-,-,-,-,3,1,-,-,-,-,Ja,-,-,-,54,0
Bovenwoning,1959,61 m²,210 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,933,12
Appartement,1960,66 m²,220 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,238,4
Bovenwoning,1960,80 m²,270 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,199,20
Appartement,1961,83 m²,280 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,144,25
