,Street,Zipcode,current_price,price_per_m2,Type,Construction_year,Living_area,LOT,Plot,Rooms,Bedrooms,treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,caf̩,(huis)arts,tandarts,fitnesscentrum,inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit,neighbourhood
1228,Keizersgracht 637 G,1017.0,749000.0, 7.133,Appartement,1906,105.0,311.0,,4,2,1700.0,1400.0,228.0,300.0,171.0,274.0,118.0,301.0,241.0,364.0,4.235,1.1552162849872774,9.978,0.1,0.12,0.38,0.28,0.12,0.63,0.28,0.09,2.71,0.64,0.23,0.13,"1,6",0.72,0.41,0.27,0.32,31.4,0.010700000000000001,Grachtengordel-Zuid
1229,Uiterwaardenstraat 246 Ii,1079.0,325000.0, 6.771,Appartement,1938,48.0,154.0,,2,1,,,,,,,,,,,13.705,0.8557887610020312,10.175,0.13,0.11,0.4,0.23,0.13,0.71,0.19,0.1,8.065,0.57,0.22,0.21,"1,7",0.77,0.32,0.39,0.29,22.6,0.03,
1230,Bouwnummer 53,1095.0,527652.0, 4.325,Bovenwoning,-,122.0,366.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Bouwnummer 71,1095.0,400376.0, 4.710,Bovenwoning,-,85.0,255.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,Bouwnummer 100,1095.0,404522.0, 4.874,Bovenwoning,-,83.0,249.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Bouwnummer 44,1095.0,342023.0, 4.560,Bovenwoning,-,75.0,225.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Haarlemmermeerstraat 124 -i,1058.0,375000.0, 6.696,Woning,1930,56.0,175.0,,2,1,1200.0,546.0,277.0,334.0,140.0,450.0,394.0,238.0,96.0,402.0,10.835,0.8521367521367522,12.665,0.12,0.1,0.49,0.2,0.09,0.69,0.18,0.13,6.75,0.6,0.23,0.17,"1,6",0.79,0.26,0.44,0.3,21.2,0.0401,Hoofddorppleinbuurt
1235,Bouwnummer 98,1095.0,404522.0, 4.874,Bovenwoning,-,83.0,249.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,Bouwnummer 70,1095.0,395489.0, 4.653,Bovenwoning,-,85.0,255.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,Bouwnummer 45,1095.0,333139.0, 4.442,Bovenwoning,-,75.0,225.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,Bouwnummer 48,1095.0,373759.0, 4.614,Bovenwoning,-,81.0,243.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,Bouwnummer 14,1095.0,371890.0, 4.649,Bovenwoning,-,80.0,240.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,"Jan Bernardusstraat 17 -a, 1091 TS Amsterdam",1091.0,599000.0, 6.807,Benedenwoning,2006,88.0,372.0,,3,2,,,,,,,,,,,4.635,1.0554323725055432,12.52,0.12,0.13,0.45,0.24,0.06,0.62,0.18,0.2,2.855,0.62,0.21,0.17,"1,6",0.75,0.27,0.38,0.35,20.9,0.0509,
1241,Visseringstraat 21,1051.0,650000.0, 5.963,Woning,-,109.0,354.0,,-,2,,,,,,,,,,,11.92,1.0135135135135136,25.329,0.13,0.1,0.45,0.25,0.07,0.55,0.18,0.27,7.45,0.64,0.17,0.18,"1,6",0.74,0.17,0.44,0.39,18.0,0.0909,
1242,Langswater 541,1069.0,215000.0, 3.162,Appartement,1966,68.0,,,4,3,,,,,,,,,,,5.185,0.9383177570093458,8.696,0.18,0.13,0.29,0.23,0.18,0.43,0.13,0.44,2.45,0.48,0.21,0.31,"2,0",0.63,0.11,0.45,0.44,16.4,0.0906,
1243,Rustenburgerstraat 386-iii,1072.0,265000.0, 6.463,Appartement,1904,41.0,110.0,,3,1,1700.0,338.0,579.0,83.0,67.0,74.0,137.0,282.0,130.0,235.0,11.7,0.9386909693454847,22.837,0.09,0.12,0.46,0.22,0.1,0.6,0.18,0.22,7.67,0.67,0.19,0.14,"1,5",0.74,0.19,0.4,0.41,18.5,0.0707,Nieuwe Pijp
1244,Bouwnummer 57,1095.0,526320.0, 4.314,Bovenwoning,-,122.0,366.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Bouwnummer 54,1095.0,527652.0, 4.325,Bovenwoning,-,122.0,366.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,Bouwnummer 27,1095.0,726617.0, 4.351,Bovenwoning,-,167.0,501.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,Bouwnummer 58,1095.0,526320.0, 4.314,Bovenwoning,-,122.0,366.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Bouwnummer 56,1095.0,530762.0, 4.351,Bovenwoning,-,122.0,366.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,Bouwnummer 60,1095.0,533427.0, 4.372,Bovenwoning,-,122.0,366.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,"Vogelenzangstraat 45 2, 1058 SP Amsterdam",1058.0,439000.0, 5.932,Woning,1934,74.0,200.0,,3,2,953.0,802.0,278.0,76.0,76.0,528.0,551.0,183.0,161.0,399.0,10.835,0.8521367521367522,12.665,0.12,0.1,0.49,0.2,0.09,0.69,0.18,0.13,6.75,0.6,0.23,0.17,"1,6",0.79,0.26,0.44,0.3,21.2,0.0401,Hoofddorppleinbuurt
1251,Bouwnummer 50,1095.0,364874.0, 4.505,Bovenwoning,-,81.0,243.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,Bouwnummer 24,1095.0,398114.0, 4.797,Bovenwoning,-,83.0,240.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,"Arent Janszoon Ernststraat 266, 1082 LT Amsterdam",1082.0,450000.0, 5.000,Appartement,2005,90.0,,,3,-,770.0,753.0,692.0,96.0,105.0,1000.0,136.0,376.0,416.0,301.0,12.165,0.8459787556904401,3.378,0.11,0.1,0.28,0.23,0.27,0.61,0.22,0.17,7.27,0.59,0.24,0.18,"1,6",0.71,0.28,0.4,0.32,23.2,0.0208,Buitenveldert-West
1254,"Jan van Eijckstraat 16 -ii-iii, 1077 LK Amsterdam",1077.0,1385000.0,-,Appartement,1929,,670.0,,8,5,,,,,,,,,,,8.165,0.8791714614499425,9.239,0.18,0.11,0.29,0.27,0.16,0.65,0.27,0.08,4.105,0.47,0.25,0.28,"2,0",0.71,0.55,0.23,0.22,38.8,0.0005,
1255,"Edisonstraat 32 I, 1098 TC Amsterdam",1098.0,295000.0, 5.086,Boerderij,1955,58.0,,,-,-,,,,,,,,,,,13.51,0.9122434536447275,4.798,0.18,0.14,0.33,0.25,0.1,0.72,0.16,0.12,6.91,0.48,0.22,0.3,"2,0",0.78,0.34,0.39,0.27,23.2,0.0203,
1256,"Parnassusweg 12 Iv, 1076 AN Amsterdam",1076.0,325000.0, 7.222,Appartement,-,45.0,,,2,-,873.0,762.0,263.0,281.0,198.0,312.0,619.0,175.0,204.0,779.0,12.07,1.0033195020746888,12.468,0.12,0.1,0.39,0.27,0.12,0.57,0.17,0.26,7.6,0.63,0.18,0.2,"1,6",0.63,0.22,0.4,0.38,19.7,0.08070000000000001,Stadionbuurt
1257,"Keizersgracht 705, 1017 DW Amsterdam",1017.0,1800000.0, 6.667,Tussenwoning,-,270.0,810.0,,12,6,1600.0,1600.0,80.0,123.0,17.0,485.0,123.0,281.0,255.0,254.0,4.235,1.1552162849872774,9.978,0.1,0.12,0.38,0.28,0.12,0.63,0.28,0.09,2.71,0.64,0.23,0.13,"1,6",0.72,0.41,0.27,0.32,31.4,0.010700000000000001,Grachtengordel-Zuid
1258,Bos en Lommerplantsoen 111 B,1055.0,185000.0, 6.167,Bovenwoning,-,30.0,106.0,,1,1,,,,,,,,,,,7.34,1.0262068965517241,10.108,0.23,0.17,0.34,0.18,0.08,0.17,0.08,0.75,3.275,0.48,0.16,0.36,"2,2",0.53,0.06,0.44,0.5,14.3,0.18030000000000002,
1259,Bouwnummer 102,1095.0,785556.0, 4.704,Bovenwoning,-,167.0,501.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,Bouwnummer 52,1095.0,532095.0, 4.361,Bovenwoning,-,122.0,366.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Amsterdam Vertical-appartement,,314009.0, 3.049,Appartement,2018,103.0,309.0,,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,"Elandsstraat 3, 1016 RW Amsterdam",1016.0,3150000.0, 7.127,Tussenwoning,-,442.0,1.3,126.0,-,-,,,,,,,,,,,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601,
1263,"Ruysdaelstraat 108 -d, 1071 XH Amsterdam",1071.0,1550000.0, 8.807,Bovenwoning,1907,176.0,,,3,2,,,,,,,,,,,11.31,0.9357876712328768,8.905,0.16,0.11,0.31,0.28,0.15,0.67,0.25,0.08,6.26,0.56,0.22,0.22,"1,8",0.72,0.48,0.25,0.27,33.9,0.0104,
1264,Bouwnummer 25,1095.0,395896.0, 4.770,Bovenwoning,-,83.0,240.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Johan Huizingalaan 298 2,1065.0,250000.0, 3.571,Appartement,1958,70.0,243.0,,3,2,680.0,1200.0,354.0,447.0,100.0,1000.0,365.0,848.0,116.0,621.0,16.495,0.9236151603498542,7.029,0.19,0.13,0.28,0.22,0.18,0.39,0.12,0.49,7.815,0.46,0.23,0.31,"2,1",0.65,0.16,0.45,0.39,17.7,0.09,Slotervaart
1266,Geldersekade 119 2,1011.0,425000.0, 6.071,Bovenwoning,1650,70.0,250.0,,-,1,,,,,,,,,,,8.83,1.089940828402367,12.429,0.09,0.12,0.35,0.33,0.1,0.64,0.24,0.12,5.87,0.67,0.18,0.15,"1,5",0.72,0.32,0.32,0.36,22.4,0.0506,
1267,"Goudsbloemstraat 4 1, 1015 JP Amsterdam",1015.0,695000.0, 6.619,Bovenwoning,1941,105.0,,,6,-,970.0,1400.0,468.0,147.0,106.0,672.0,37.0,134.0,110.0,702.0,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601,Jordaan
1268,Abebe Bikilalaan 39,1034.0,275000.0, 3.198,Appartement,1994,86.0,285.0,,3,2,3000.0,1600.0,195.0,224.0,231.0,922.0,1000.0,640.0,169.0,2100.0,12.51,0.9201841903300078,7.553,0.21,0.12,0.26,0.25,0.15,0.43,0.09,0.48,5.675,0.43,0.21,0.37,"2,2",0.63,0.11,0.46,0.43,16.4,0.1007,Banne Buiksloot
1269,"Retiefstraat 21 3, 1092 VV Amsterdam",1092.0,575000.0, 5.990,Appartement,1910,96.0,,,5,-,726.0,960.0,218.0,274.0,129.0,390.0,60.0,181.0,81.0,626.0,9.295,1.018458197611292,25.2,0.17,0.16,0.37,0.24,0.07,0.35,0.13,0.52,4.955,0.55,0.18,0.27,"1,9",0.63,0.11,0.44,0.45,16.1,0.1407,Transvaalbuurt
1270,Leeuwendalersweg 17,1055.0,450000.0, 4.245,Appartement,1970,106.0,328.0,,3,2,1200.0,862.0,234.0,232.0,232.0,666.0,410.0,351.0,300.0,312.0,17.65,1.0079635949943118,17.336,0.17,0.14,0.43,0.19,0.07,0.38,0.11,0.51,9.585,0.55,0.2,0.25,"1,8",0.67,0.11,0.47,0.42,16.2,0.1209,Landlust
1271,Wibautstraat 212,1091.0,49000.0, 4.083,Garage,-,12.0,24.0,12.0,1,-,777.0,1100.0,649.0,360.0,127.0,374.0,326.0,298.0,122.0,226.0,4.635,1.0554323725055432,12.52,0.12,0.13,0.45,0.24,0.06,0.62,0.18,0.2,2.855,0.62,0.21,0.17,"1,6",0.75,0.27,0.38,0.35,20.9,0.0509,Weesperzijde
1272,"Reinier Claeszenstraat 68-2, 1056 WP Amsterdam",1056.0,339000.0, 6.519,Woon-/winkelpand,1925,52.0,,,3,-,2400.0,467.0,461.0,184.0,135.0,340.0,283.0,111.0,6.0,341.0,11.945,0.9646381578947368,22.538,0.14,0.14,0.45,0.2,0.07,0.54,0.16,0.3,6.875,0.56,0.22,0.22,"1,7",0.71,0.16,0.43,0.41,17.5,0.09,De Krommert
1273,"Knsm-laan 525, 1019 LG Amsterdam",1019.0,550000.0, 6.250,Penthouse,1996,88.0,263.0,,3,-,1900.0,2100.0,528.0,470.0,237.0,937.0,435.0,360.0,490.0,336.0,17.75,1.0367183017785429,11.717,0.2,0.08,0.39,0.29,0.04,0.62,0.16,0.22,8.775,0.43,0.25,0.33,"2,0",0.8,0.4,0.37,0.23,24.8,0.0408,Oostelijk Havengebied
1274,"Sam van Houtenstraat 197 F, 1067 JG Amsterdam",1067.0,375000.0, 3.000,Appartement,2006,125.0,,,4,-,2800.0,1800.0,59.0,303.0,99.0,2100.0,306.0,37.0,385.0,322.0,12.825,1.000780031201248,9.663,0.21,0.16,0.31,0.2,0.11,0.3,0.1,0.6,5.67,0.43,0.2,0.37,"2,2",0.62,0.09,0.45,0.46,15.5,0.1107,Geuzenveld
1275,"Kerkstraat 61, 1017 GC Amsterdam",1017.0,2300000.0,-,Herenhuis,1770,,1.366,186.0,8,2,1800.0,833.0,162.0,624.0,347.0,328.0,30.0,228.0,198.0,234.0,4.235,1.1552162849872774,9.978,0.1,0.12,0.38,0.28,0.12,0.63,0.28,0.09,2.71,0.64,0.23,0.13,"1,6",0.72,0.41,0.27,0.32,31.4,0.010700000000000001,Grachtengordel-Zuid
1276,Het Hoogt 60,1025.0,300000.0, 3.261,Appartement,1968,92.0,286.0,,4,3,,,,,,,,,,,11.96,0.8790259230164964,3.667,0.17,0.14,0.25,0.22,0.23,0.49,0.1,0.41,6.105,0.5,0.22,0.27,"1,9",0.64,0.15,0.44,0.41,17.3,0.0801,
1277,"Kloveniersburgwal 127 Iii+iv, 1011 KD Amsterdam",1011.0,650000.0,-,Appartement,1906,,143.0,,3,2,1100.0,1400.0,161.0,378.0,487.0,590.0,10.0,154.0,140.0,191.0,8.83,1.089940828402367,12.429,0.09,0.12,0.35,0.33,0.1,0.64,0.24,0.12,5.87,0.67,0.18,0.15,"1,5",0.72,0.32,0.32,0.36,22.4,0.0506,Nieuwmarkt en Lastage
1278,"Jan Witheijnstraat 21, 1018 WM Amsterdam",1018.0,359000.0, 3.554,Appartement,1998,101.0,,,-,-,1400.0,2800.0,499.0,274.0,109.0,765.0,581.0,582.0,404.0,480.0,12.615,1.0224538893344026,12.311,0.13,0.13,0.34,0.32,0.08,0.57,0.18,0.25,7.55,0.6,0.18,0.21,"1,7",0.68,0.21,0.41,0.38,19.3,0.0901,Oostelijke Eilanden en Kadijken
1279,Blauwvoetstraat 14 Hs,1061.0,350000.0,-,Appartement,-,,,,-,-,,,,,,,,,,,7.34,1.0262068965517241,10.108,0.23,0.17,0.34,0.18,0.08,0.17,0.08,0.75,3.275,0.48,0.16,0.36,"2,2",0.53,0.06,0.44,0.5,14.3,0.18030000000000002,
1280,"Bloys van Treslongstraat 34 3, 1056 XB Amsterdam",1056.0,325000.0, 5.417,Woon-/winkelpand,1933,60.0,175.0,,4,2,2100.0,480.0,216.0,108.0,294.0,362.0,233.0,127.0,50.0,274.0,17.65,1.0079635949943118,17.336,0.17,0.14,0.43,0.19,0.07,0.38,0.11,0.51,9.585,0.55,0.2,0.25,"1,8",0.67,0.11,0.47,0.42,16.2,0.1209,Landlust
1281,James Rosskade 26 -ii,1056.0,250000.0, 5.000,Bovenwoning,1953,50.0,,58.0,2,1,1600.0,515.0,326.0,221.0,221.0,169.0,206.0,272.0,219.0,121.0,7.34,1.0262068965517241,10.108,0.23,0.17,0.34,0.18,0.08,0.17,0.08,0.75,3.275,0.48,0.16,0.36,"2,2",0.53,0.06,0.44,0.5,14.3,0.18030000000000002,De Kolenkit
1282,Coronelstraat 15,1063.0,435000.0, 3.919,Woning,1954,111.0,,,5,4,756.0,238.0,509.0,302.0,169.0,876.0,464.0,373.0,488.0,542.0,9.185,1.0629213483146067,9.627,0.2,0.15,0.34,0.21,0.11,0.27,0.1,0.63,4.54,0.51,0.17,0.32,"2,0",0.6,0.1,0.45,0.45,16.2,0.1306,Slotermeer-Noordoost
1283,Stadhouderskade 129 -a-ii,1074.0,0.0,-,Appartement,1881,90.0,337.0,,3,1,,,,,,,,,,,13.77,1.0294767870302137,21.803,0.1,0.15,0.48,0.22,0.06,0.61,0.21,0.18,9.36,0.69,0.19,0.13,"1,5",0.73,0.22,0.39,0.39,19.8,0.0601,
1284,Bouwnummer 51,1095.0,373759.0, 4.614,Bovenwoning,-,81.0,243.0,,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,"Parnassusweg 21 2, 1077 DB Amsterdam",1077.0,775000.0, 5.536,Appartement,1931,140.0,,,7,-,816.0,701.0,324.0,342.0,259.0,350.0,643.0,166.0,167.0,789.0,8.165,0.8791714614499425,9.239,0.18,0.11,0.29,0.27,0.16,0.65,0.27,0.08,4.105,0.47,0.25,0.28,"2,0",0.71,0.55,0.23,0.22,38.8,0.0005,Apollobuurt
1286,Oostzaanstraat Ong,,765000.0,,-,2019,140.0,375.0,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,Oostzaanstraat Ong,,760000.0,,-,2019,140.0,375.0,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,"Romeinsarmsteeg 2 A P 2, 1016 AR Amsterdam",1016.0,1300000.0, 10.656,Bovenwoning,-,122.0,,,3,-,1200.0,757.0,273.0,468.0,83.0,75.0,109.0,181.0,124.0,349.0,6.805,1.133228840125392,13.56,0.09,0.12,0.38,0.3,0.11,0.62,0.3,0.08,4.495,0.65,0.23,0.12,"1,5",0.69,0.44,0.26,0.3,30.2,0.01,Grachtengordel-West
1289,"Jan Tooropstraat 585 +pp, 1061 AE Amsterdam",1061.0,449000.0,-,Appartement,2008,,380.0,,4,3,1200.0,593.0,433.0,177.0,273.0,547.0,620.0,504.0,123.0,711.0,10.475,0.9839015151515151,7.2,0.21,0.19,0.33,0.18,0.1,0.26,0.09,0.65,4.75,0.49,0.19,0.33,"2,2",0.6,0.13,0.42,0.45,16.5,0.1208,Overtoomse Veld
1290,Sajetplein 42,1091.0,330000.0, 5.500,Appartement,1988,60.0,,,2,1,,,,,,,,,,,10.255,1.019704433497537,14.281,0.13,0.13,0.4,0.27,0.07,0.47,0.15,0.38,6.12,0.62,0.18,0.2,"1,7",0.68,0.14,0.42,0.44,17.2,0.1109,
1291,Rooseveltlaan 144 I,1078.0,600000.0, 5.825,Appartement,1930,103.0,,,5,-,,,,,,,,,,,13.705,0.8557887610020312,10.175,0.13,0.11,0.4,0.23,0.13,0.71,0.19,0.1,8.065,0.57,0.22,0.21,"1,7",0.77,0.32,0.39,0.29,22.6,0.03,
1292,Bouwnummer 93,1095.0,427715.0, 4.320,Bovenwoning,-,99.0,297.0,,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,Bouwnummer 74,1095.0,910298.0, 4.597,Bovenwoning,-,198.0,594.0,,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,Spinozastraat 37,1018.0,0.0,,-,-,34.0,100.0,,1,1,1400.0,1700.0,496.0,175.0,267.0,514.0,137.0,258.0,91.0,260.0,10.255,1.019704433497537,14.281,0.13,0.13,0.4,0.27,0.07,0.47,0.15,0.38,6.12,0.62,0.18,0.2,"1,7",0.68,0.14,0.42,0.44,17.2,0.1109,Oosterparkbuurt
1295,Bartholomeus Diazstraat 14 Ii,1057.0,269000.0, 5.490,Bovenwoning,1925,49.0,,,3,2,2000.0,395.0,111.0,231.0,120.0,766.0,60.0,187.0,77.0,355.0,10.02,0.9782823297137215,25.57,0.14,0.11,0.47,0.19,0.08,0.44,0.15,0.41,6.0,0.61,0.19,0.2,"1,6",0.69,0.12,0.48,0.4,16.9,0.1107,Hoofdweg en omgeving
1296,Jan van Duivenvoordestraat 51 + Pp,1067.0,0.0,-,Appartement,2002,92.0,270.0,,3,-,2700.0,1700.0,118.0,198.0,188.0,2000.0,201.0,142.0,260.0,211.0,12.825,1.000780031201248,9.663,0.21,0.16,0.31,0.2,0.11,0.3,0.1,0.6,5.67,0.43,0.2,0.37,"2,2",0.62,0.09,0.45,0.46,15.5,0.1107,Geuzenveld
1297,"Buikslotermeerplein 435, 1025 WR Amsterdam",1025.0,0.0,-,Appartement,1995,90.0,,,3,-,3600.0,2900.0,313.0,254.0,211.0,861.0,407.0,366.0,108.0,1100.0,11.96,0.8790259230164964,3.667,0.17,0.14,0.25,0.22,0.23,0.49,0.1,0.41,6.105,0.5,0.22,0.27,"1,9",0.64,0.15,0.44,0.41,17.3,0.0801,Buikslotermeer
1298,"Buikslotermeerplein 461, 1025 WR Amsterdam",1025.0,0.0,-,Appartement,1995,87.0,,,3,-,3600.0,2900.0,312.0,254.0,212.0,859.0,407.0,365.0,108.0,1100.0,11.96,0.8790259230164964,3.667,0.17,0.14,0.25,0.22,0.23,0.49,0.1,0.41,6.105,0.5,0.22,0.27,"1,9",0.64,0.15,0.44,0.41,17.3,0.0801,Buikslotermeer
1299,"Buikslotermeerplein 509, 1025 WR Amsterdam",1025.0,0.0,-,Appartement,1995,87.0,,,3,-,,,,,,,,,,,11.96,0.8790259230164964,3.667,0.17,0.14,0.25,0.22,0.23,0.49,0.1,0.41,6.105,0.5,0.22,0.27,"1,9",0.64,0.15,0.44,0.41,17.3,0.0801,
1300,"Joan Melchior Kemperstraat 42, 1051 TS Amsterdam",1051.0,265000.0, 6.463,Benedenwoning,1910,41.0,,,2,-,1900.0,1100.0,62.0,170.0,16.0,280.0,22.0,35.0,42.0,580.0,11.92,1.0135135135135136,25.329,0.13,0.1,0.45,0.25,0.07,0.55,0.18,0.27,7.45,0.64,0.17,0.18,"1,6",0.74,0.17,0.44,0.39,18.0,0.0909,Staatsliedenbuurt
1301,Bloemstraat 96,1016.0,825000.0, 3.873,Herenhuis,1905,213.0,800.0,74.0,5,3,1400.0,503.0,166.0,360.0,178.0,328.0,101.0,77.0,70.0,112.0,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601,Jordaan
1302,Pieter Oosterhuisstraat 81,1087.0,345000.0, 4.059,Appartement,2008,85.0,255.0,,3,2,,,,,,,,,,,3.66,0.921259842519685,4.518,0.3,0.1,0.46,0.11,0.03,0.46,0.11,0.43,1.565,0.39,0.16,0.45,"2,3",0.78,,,,,0.0701,
1303,Bouwnummer 95,1095.0,427715.0, 4.320,Bovenwoning,-,99.0,297.0,,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,"Bilderdijkkade 5 H, 1052 RS Amsterdam",1052.0,475000.0, 7.197,Benedenwoning,1913,66.0,,,-,-,2300.0,551.0,354.0,28.0,56.0,524.0,160.0,245.0,125.0,330.0,4.395,1.0324074074074074,20.263,0.1,0.11,0.45,0.25,0.09,0.65,0.21,0.14,2.84,0.64,0.21,0.15,"1,5",0.75,0.22,0.4,0.38,19.4,0.050499999999999996,Da Costabuurt
1305,"Pieter Baststraat 30, 1071 TX Amsterdam",1071.0,0.0,-,Woning,1905,,585.0,68.0,9,5,1700.0,347.0,686.0,409.0,216.0,262.0,137.0,83.0,20.0,526.0,1.26,,21.783,0.09,0.09,0.57,0.2,0.05,0.66,0.25,0.09,855.0,0.66,0.22,0.12,"1,5",0.8,0.41,0.31,0.28,24.6,0.0207,Duivelseiland
1306,Langswater 356,1069.0,176000.0, 2.347,Appartement,1965,75.0,,,4,3,3000.0,1400.0,473.0,208.0,96.0,1100.0,559.0,478.0,97.0,925.0,5.185,0.9383177570093458,8.696,0.18,0.13,0.29,0.23,0.18,0.43,0.13,0.44,2.45,0.48,0.21,0.31,"2,0",0.63,0.11,0.45,0.44,16.4,0.0906,De Punt
1307,"Albert Cuypstraat 274 Iii-iv, 1073 BR Amsterdam",1073.0,450000.0, 3.600,Woning,-,125.0,385.0,,3,1,1700.0,899.0,378.0,241.0,112.0,559.0,63.0,337.0,64.0,439.0,13.77,1.0294767870302137,21.803,0.1,0.15,0.48,0.22,0.06,0.61,0.21,0.18,9.36,0.69,0.19,0.13,"1,5",0.73,0.22,0.39,0.39,19.8,0.0601,Oude Pijp
1308,Akerwateringstraat 137,1069.0,235000.0, 2.374,Appartement,1970,99.0,330.0,,4,3,3400.0,1500.0,206.0,120.0,120.0,1400.0,681.0,506.0,441.0,1300.0,5.185,0.9383177570093458,8.696,0.18,0.13,0.29,0.23,0.18,0.43,0.13,0.44,2.45,0.48,0.21,0.31,"2,0",0.63,0.11,0.45,0.44,16.4,0.0906,De Punt
1309,Rosa Manusstraat 10,1069.0,259000.0, 3.648,Appartement,1983,71.0,222.0,,3,2,2600.0,961.0,298.0,335.0,92.0,659.0,227.0,293.0,240.0,686.0,13.37,0.9292929292929294,12.505,0.21,0.14,0.36,0.17,0.13,0.27,0.1,0.63,6.23,0.45,0.22,0.33,"2,1",0.63,0.09,0.45,0.46,15.7,0.12029999999999999,Osdorp-Midden
1310,Orteliusstraat 146 2,1057.0,289000.0, 5.255,Appartement,1927,55.0,,,2,1,1600.0,373.0,89.0,406.0,48.0,659.0,45.0,389.0,303.0,479.0,10.02,0.9782823297137215,25.57,0.14,0.11,0.47,0.19,0.08,0.44,0.15,0.41,6.0,0.61,0.19,0.2,"1,6",0.69,0.12,0.48,0.4,16.9,0.1107,Hoofdweg en omgeving
1311,"Den Texstraat 50 2, 1017 ZC Amsterdam",1017.0,997000.0, 5.665,Bovenwoning,1005,176.0,,,6,5,2000.0,1100.0,262.0,339.0,133.0,508.0,151.0,82.0,80.0,187.0,6.975,1.0454545454545454,12.587,0.09,0.12,0.43,0.26,0.09,0.64,0.25,0.11,4.62,0.67,0.21,0.13,"1,5",0.73,0.36,0.33,0.31,26.3,0.0209,De Weteringschans
1312,Bouwnummer 96,1095.0,429931.0, 4.343,Bovenwoning,-,99.0,297.0,,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,"Prinsengracht 532 D, 1017 KJ Amsterdam",1017.0,1600000.0, 9.040,Penthouse,1860,177.0,494.0,,5,4,1900.0,1000.0,100.0,454.0,380.0,189.0,96.0,126.0,173.0,353.0,6.975,1.0454545454545454,12.587,0.09,0.12,0.43,0.26,0.09,0.64,0.25,0.11,4.62,0.67,0.21,0.13,"1,5",0.73,0.36,0.33,0.31,26.3,0.0209,De Weteringschans
