Street,Zipcode,Price,Broker
Weespersluis Lanenrijk Fase 1 B-zomertaling,na, 505.000,Niki
Madurastraat 111 Hs,1094 GK, 325.000,JLG Real Estate B.V.
Kiekstraat 39,1087 GK, 400.000,Hallie & van Klooster Makelaardij
Heer Halewijnstraat 22 Ii,1055 ST, 285.000,Van Maarschalkerwaart Makelaardij B.V.
Willem Molengraaffstraat 13 Ii,1063 LJ, 225.000,Makelaardij Hendriks B.V.
Stentorstraat 87 1,1035 XE, 175.000,ERA Van de Steege  Amsterdam-Centrum
Frans Halsstraat 29,1072 BK, 575.000,Amsterdam at Home Makelaars
Singel 354,1016 AG, 1.695.000,ouwehand van der meijden makelaars
Balboastraat 22 A,1057 VW, 475.000,Voogd Makelaardij B.V.
Kleine Beerstraat 11,1033 CP, 270.000,RE/MAX PRO
Werkendamstraat 8,1107 KJ, 215.000,All in Housing
Admiraal de Ruijterweg 297 Ii,1055 LW, 329.000,De Huizenbemiddelaar Amsterdam
Van Tuyll van Serooskerkenweg 58 1,1076 JN, 500.000,Makelaarsland
Baetostraat 4 I,1055 EP, 275.000,Makelaardij Hendriks B.V.
Soembawastraat 48 C,1095 XC, 275.000,Francis Helmig makelaardij
Brigantijnkade 38,1086 VB, 650.000,JLG Real Estate B.V.
Alexandrine Tinnehof 12,1087 CM, 499.000,Hallie & van Klooster Makelaardij
Ferguutstraat 1 -iii,1055 SV, 650.000,C. Hoen Dzn c.v.
Oudezijds Achterburgwal 85 I,1012 DC, 340.000,Your Home Makelaardij
Lederambachtstraat 226,1069 HM, 210.000,Collectief makelaars
Loenermark 595,1025 VA, 225.000,ERA Van de Steege  Amsterdam-Centrum
Wittgensteinlaan 16,1062 KA, 369.000,BVA Makelaardij
H.j. Algrastraat 20,1067 WL, 300.000,van der Linden Lelystad
Zuideinde 286,1035 PM, 1.395.000,de Haas Makelaars
Rozengracht 37 1,1016 LR, 849.000,Van Maarschalkerwaart Makelaardij B.V.
Burgemeester Hogguerstraat 645,1064 CX, 300.000,Henk Burger Makelaardij og B.V.
Spuistraat 62 I,1012 TW, 749.000,Huisportaal.nl
Centavoshof 8,1060 SR, 459.000,Barnhoorn Vermeer B.V.
Backershagen 73,1082 GS, 445.000,JLG Real Estate B.V.
Pieter Calandlaan 402,1060 TT, 249.800,Huizenlinq Makelaars onroerende zaken
Sophialaan 4 Bv,1075 BR, 1.395.000,Makelaardij o.g. Willemspark
Admiraal de Ruijterweg 475 Iii,1055 MH, 595.000,Geldhof Makelaardij o.g.
's-gravesandestraat 8,1091 AA, 395.000,SEM Makelaars
Van Beuningenplein 5 Hs,1051 VS, 500.000,Hallie & van Klooster Makelaardij
Van der Palmkade 123 +pp,1051 RH, 545.000,Hallie & van Klooster Makelaardij
Prinsengracht 558,1017 KK, 1.950.000,C. Hoen Dzn c.v.
Utrechtsedwarsstraat 129 D,1017 WE, 500.000,Makelaardij Hendriks B.V.
Antillenstraat 28 Ii,1058 HB, 285.000,Burger Elkerbout Makelaars en Taxateurs
Warmondstraat 175 3,1058 KX, 425.000,Amsterdam at Home Makelaars
Vervoorenstraat 33,1063 ET, 450.000,Fris Makelaardij Amsterdam B.V.
Geuzenstraat 73 2,1056 KB, 300.000,Makelaarsland
Keizersgracht 590 C,1017 EN, 990.000,Burger Elkerbout Makelaars en Taxateurs
Reinier Claeszenstraat 43 2,1056 WE, 425.000,Scholten Vastgoed B.V.
Willemsparkweg 204 A,1071 HW, 2.250.000,Jaap Admiraal Makelaardij B.V.
Wagenaarstraat 495,1093 CN, 399.000,SEM Makelaars
Smitstraat 26 3,1092 XS, 375.000,Makelaarsland
Orteliusstraat 36 1,1057 BB, 350.000,Makelaarsland
Keizersgracht 682 C,1017 ET, 800.000,Silderhuis Makelaardij
