Zipcode,current_price,price_per_m2,times_in_sales,Type,Construction_year,Living_area,LOT,Plot,Rooms,Bedrooms,treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,(huis)arts,tandarts,fitnesscentrum,bibliotheek,inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit
1033.0,289011.0, 4.446,10 dagen,Eengezinswoning,1958,65.0,324.0,75.0,5,4,3500.0,1100.0,541.0,629.0,738.0,1900.0,529.0,345.0,484.0,1500.0,2500.0,10.38,0.9365671641791044,6.287,0.15,0.1,0.27,0.28,0.19,0.7,0.08,0.22,5.185,0.44,0.25,0.31,"2,0",0.69,0.08,0.45,0.47,15.3,0.060700000000000004
1012.0,950000.0, 12.500,13 dagen,Woning,1645,76.0,433.0,40.0,5,3,533.0,1300.0,83.0,339.0,119.0,52.0,48.0,147.0,108.0,91.0,781.0,4.47,1.4032258064516128,7.268,0.06,0.17,0.51,0.21,0.05,0.53,0.27,0.2,3.35,0.75,0.18,0.06,"1,3",0.71,0.28,0.36,0.36,21.8,0.0203
1060.0,375000.0, 3.151,28 dagen,Tussenwoning,1998,119.0,419.0,119.0,4,3,3200.0,1200.0,305.0,145.0,299.0,1200.0,779.0,231.0,160.0,1200.0,5500.0,14.995,0.9782321899736147,7.345,0.21,0.14,0.28,0.29,0.09,0.52,0.12,0.36,6.03,0.3,0.24,0.47,"2,5",0.74,0.26,0.43,0.31,20.8,0.030899999999999997
1058.0,590000.0, 5.842,8 dagen,Bovenwoning,1935,101.0,349.0,,4,3,1200.0,1100.0,76.0,519.0,68.0,610.0,141.0,300.0,144.0,357.0,2500.0,6.38,0.936267071320182,20.52,0.11,0.13,0.48,0.2,0.08,0.58,0.19,0.23,3.875,0.58,0.24,0.18,"1,6",0.76,0.2,0.41,0.39,18.8,0.0602
1058.0,895000.0, 5.234,Nieuw,Benedenwoning,2010,171.0,494.0,,5,4,,,,,,,,,,,,7.115,0.9203778677462888,21.356,0.13,0.11,0.44,0.25,0.07,0.66,0.22,0.12,4.46,0.64,0.19,0.18,"1,6",0.76,0.31,0.37,0.32,22.3,0.0405
1064.0,385000.0, 3.565,Nieuw,Appartement,1999,108.0,332.0,,3,2,1300.0,542.0,633.0,328.0,434.0,337.0,780.0,383.0,37.0,892.0,3500.0,16.495,0.9236151603498542,7.029,0.19,0.13,0.28,0.22,0.18,0.39,0.12,0.49,7.815,0.46,0.23,0.31,"2,1",0.65,0.16,0.45,0.39,17.7,0.09
1068.0,230000.0, 2.614,Nieuw,Woning,1968,88.0,256.0,,2,1,,,,,,,,,,,,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707
1051.0,669000.0, 7.433,15 dagen,Woonboot,2015,90.0,200.0,1.0,5,2,,,,,,,,,,,,11.92,1.0135135135135136,25.329,0.13,0.1,0.45,0.25,0.07,0.55,0.18,0.27,7.45,0.64,0.17,0.18,"1,6",0.74,0.17,0.44,0.39,18.0,0.0909
1071.0,2500000.0, 8.651,28 dagen,Herenhuis,1906,289.0,1.235,130.0,6,5,1700.0,1100.0,113.0,329.0,46.0,492.0,148.0,243.0,136.0,369.0,1500.0,11.31,0.9357876712328768,8.905,0.16,0.11,0.31,0.28,0.15,0.67,0.25,0.08,6.26,0.56,0.22,0.22,"1,8",0.72,0.48,0.25,0.27,33.9,0.0104
1077.0,965000.0, 6.993,22 dagen,Bovenwoning,1927,138.0,462.0,,8,3,,,,,,,,,,,,8.165,0.8791714614499425,9.239,0.18,0.11,0.29,0.27,0.16,0.65,0.27,0.08,4.105,0.47,0.25,0.28,"2,0",0.71,0.55,0.23,0.22,38.8,0.0005
