treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Lelylaan', '3,2 kilometer']","['Demarol Badhoevedrop', '1,2 kilometer']","['Oz Derya BV', '305 meter']","['Horizon Openbare Dalton Basisschool De', '145 meter']","['Rozemarijntje Kinderopvang', '299 meter']","['Calandlyceum', '1,2 kilometer']","['Silvestre Benelux BV Café', '779 meter']","['Filmclub Videotheek Osdorp', '266 meter']","['Gezondheidscentrum De Vaart SAG', '231 meter']","['Barends Tandartspraktijk M', '160 meter']","['Ladies Gym Osdorp', '1,2 kilometer']","['Praktizijns Sociëteit Bibliotheek', '5,5 kilometer']"
"['Amsterdam Centraal', '533 meter']","['Texaco Bem BV Selfservice', '1,3 kilometer']","['City Public Supermarkt & Souvenirs', '83 meter']","['Burght Openbare Basisschool', '339 meter']","['Montris 30 BV', '119 meter']","['Amsterdamsche School De', '52 meter']","['Spaanse Ruiter Café De', '48 meter']","['Weng Joeng Hong', '515 meter']","['Berenschot Huisarts M A', '147 meter']","['PR Dental', '108 meter']","['Fitness First Amsterdam', '91 meter']","['Bibliotheca Philosophica Hermetica', '781 meter']"
"['Amsterdam Lelylaan', '1,2 kilometer']","['Shell Station Postjesweg', '1,1 kilometer']","['Mina Supermarkt', '76 meter']","['7e Montessori', '519 meter']","['Tulp 1 Naschoolse Opvang De', '68 meter']","['ABC Het', '610 meter']","['Bardot Café', '141 meter']","['Filmclub Videotheek Overtoom', '490 meter']","['Bokma D B J en Eringa M J Huisartsenpraktijk', '300 meter']","['Circe Van Es Tandarts', '144 meter']","['Bridesight Fitness en Fysiotherapie', '357 meter']","['Praktizijns Sociëteit Bibliotheek', '2,5 kilometer']"
"['Amsterdam Zuid', '1,7 kilometer']","['BP Commandeur', '628 meter']","['Albert Heijn Supermarkt', '453 meter']","['2e Dalton Basisschool', '573 meter']","['Albers Kids & Care', '383 meter']","['Amsterdams Lyceum Het', '260 meter']","['Bedier Café', '403 meter']","['Lucky Star Videotheek', '441 meter']","['Neut Huisartsenpraktijk H W vd', '194 meter']","['Tandartspraktijk Koninginneweg', '73 meter']","['IFit Health Station', '544 meter']","['Praktizijns Sociëteit Bibliotheek', '1,4 kilometer']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Lelylaan', '1,3 kilometer']","['Autorette BP Sloterplas', '542 meter']","['Keet BV Supermarkt De', '633 meter']","['Japanese School of Amsterdam The', '328 meter']","['Blije Bij Kinderopvang De', '434 meter']","['Onderwijsstichting Esprit Centraal Bureau', '337 meter']","['Kleine Nachtwacht VOF De', '780 meter']","['Tetauni Videotheek', '1,2 kilometer']","['GH Waarneming', '383 meter']","['Fung Kon Jin Tandarts R H W', '37 meter']","['Fitness Centre Palestra', '892 meter']","['Bibliotheca Philosophica Hermetica', '3,5 kilometer']"
,,,,,,,,,,,
"['Amsterdam Zuid', '1,7 kilometer']","['BP Commandeur', '1,1 kilometer']","['Organic Food For You', '113 meter']","['2e Dalton Basisschool', '329 meter']","['Bengeltjes NV', '46 meter']","['Amsterdams Lyceum Het', '492 meter']","['King Arthur', '148 meter']","['Lucky Star Videotheek', '965 meter']","['Korthals Altes-Levy H R', '243 meter']","['Bruin R de', '136 meter']","['Personal Healthclub', '369 meter']","['Praktizijns Sociëteit Bibliotheek', '1,5 kilometer']"
