Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Vrijstaande woning,1923,113 m²,368 m³,88 m²,-,-,Openhaard,-,-,-,4,3,-,-,-,-,Ja,-,-,-,886,8
-,2014,104 m²,270 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,Ja,41,4
Appartement,1905,64 m²,181 m³,-,-,-,Openhaard,-,-,-,3,1,-,-,-,-,-,-,-,-,241,14
Appartement,1999,104 m²,291 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,187,15
Herenhuis,2008,146 m²,494 m³,183 m²,-,DubbelglasMuurDak,StadsverwarmingVloerverwarming,-,-,-,5,3,Bad2e toilet,-,Uitstekend,Uitstekend,-,-,-,Ja,354,3
Herenhuis,1830,313 m²,1.038 m³,-,-,-,-,-,-,-,14,3,-,-,-,-,-,-,-,-,2.254,7
Eengezinswoning,1990,114 m²,-,83 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,442,12
Boerderij,1880,54 m²,156 m³,83 m²,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,121,9
Bovenwoning,2015,27 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,516,13
Bovenwoning,2003,96 m²,290 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,162,7
Bovenwoning,1934,57 m²,140 m³,-,Zwembad,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,265,10
Hoekwoning,1939,110 m²,352 m³,-,-,-,-,-,-,-,7,5,-,-,-,-,-,-,Ja,-,50,5
Tussenwoning,1962,117 m²,441 m³,185 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,6,6
Benedenwoning,1928,74 m²,240 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,133,3
Woonboot,1961,64 m²,137 m³,1 m²,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,2.194,38
Eengezinswoning,1923,57 m²,207 m³,146 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,999,14
Appartement,2011,83 m²,-,80 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,132,7
Appartement,2007,73 m²,280 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,59,0
Bovenwoning,1928,130 m²,704 m³,-,-,-,-,-,-,-,8,6,-,-,-,-,-,-,-,-,243,6
Appartement,1963,82 m²,260 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,236,21
Appartement,1935,59 m²,356 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,36,0
Appartement,2010,92 m²,228 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,Ja,286,5
Bovenwoning,1959,61 m²,210 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,721,33
Bovenwoning,2008,89 m²,267 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,205,6
Tussenwoning,1900,110 m²,388 m³,130 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,192,2
Appartement,1968,69 m²,225 m³,-,Lift,-,-,-,-,-,3,-,-,-,-,-,Ja,-,Ja,-,314,26
Appartement,2000,130 m²,374 m³,-,Lift,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,Ja,145,8
Appartement,1960,66 m²,220 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,20,20
Hoekwoning,2009,161 m²,575 m³,170 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,Ja,510,2
Woon-/winkelpand,1967,70 m²,221 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,Ja,-,847,33
Boerderij,1723,125 m²,312 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,Ja,112,5
Eengezinswoning,1993,130 m²,445 m³,135 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,112,4
Eengezinswoning,1954,100 m²,-,100 m²,-,DubbelglasMuurDak,CV hoogrendement,-,-,Uitstekend,3,2,2e toilet,Luxe,Uitstekend,Uitstekend,Achter,WoningenGroenvoorzieningen,-,-,417,2
Bovenwoning,2008,103 m²,335 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,Ja,436,7
Bovenwoning,1899,78 m²,264 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,106,9
Bungalow,2018,22 m²,75 m³,35 m²,-,-,-,-,-,-,1,1,-,-,-,-,Ja,-,-,-,2.537,35
Benedenwoning,1983,89 m²,249 m³,105 m²,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,341,17
Bovenwoning,1897,138 m²,518 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,-,-,263,7
Appartement,1963,80 m²,251 m³,446 m²,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,582,32
Benedenwoning,-,53 m²,196 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,Ja,-,120,4
Appartement,1964,93 m²,283 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,224,14
Eengezinswoning,1958,70 m²,277 m³,139 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,1.367,10
Appartement,1963,67 m²,215 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,130,9
Bovenwoning,2005,130 m²,392 m³,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,466,3
Benedenwoning,2006,94 m²,347 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,Ja,-,-,Ja,126,3
