posted_date,current_price,original_price,changes_in_price,price,price_per_m2,times_in_sales
29-05-2018, 1.295.000, 1.295.000,-, 1.295.000, 6.167,22 dagen
03-06-2018, 325.000, 325.000,-, 325.000, 7.738,17 dagen
14-06-2018, 799.011, 799.011,-, 799.011, 6.194,6 dagen
23-05-2018, 300.000, 300.000,-, 300.000, 5.556,28 dagen
23-05-2018, 215.000, 215.000,-, 215.000, 3.359,28 dagen
18-05-2018, 750.000, 799.000," -49.000 / -6,1%", 750.000, 5.682,1 maand
12-06-2018, 350.000, 350.000,-, 350.000, 6.140,8 dagen
18-05-2018, 325.000, 325.000,-, 325.000, 7.222,1 maand
12-06-2018, 375.000, 375.000,-, 375.000, 7.075,8 dagen
05-06-2018, 225.000, 225.000,-, 225.000, 3.358,15 dagen
17-03-2018, 775.000, 775.000,-, 775.000, 5.827,3 maanden
04-06-2018, 625.000, 625.000,-, 625.000, 6.510,16 dagen
14-06-2018, 550.000, 550.000,-,,,
13-06-2018, 375.000, 375.000,-, 375.000, 6.048,7 dagen
13-06-2018, 275.000, 275.000,-, 275.000, 6.250,7 dagen
08-05-2018, 68.000, 68.000,-, 68.000, 3.091,1 maand
28-05-2018, 350.000, 350.000,-, 350.000, 3.804,23 dagen
28-05-2018, 450.000, 450.000,-, 450.000, 6.818,23 dagen
18-05-2018, 739.000, 739.000,-, 739.000, 7.541,1 maand
06-06-2018, 200.000, 200.000,-, 200.000, 4.348,14 dagen
07-06-2018, 345.000, 345.000,-, 345.000, 6.635,13 dagen
11-06-2018, 285.000, 285.000,-, 285.000, 4.130,9 dagen
11-06-2018, 425.000, 425.000,-, 425.000, 5.449,9 dagen
21-04-2018, 600.000, 600.000,-, 600.000, 5.556,1 maand
26-05-2018, 1.250.000, 1.250.000,-, 1.250.000, 9.470,25 dagen
18-06-2018, 275.000, 275.000,-, 275.000, 6.250,Nieuw
18-06-2018, 250.000, 250.000,-, 250.000, 5.556,Nieuw
19-06-2018, 1.890.000, 1.890.000,-, 1.890.000, 7.186,Nieuw
20-06-2018, 200.000, 200.000,-, 200.000, 3.077,Nieuw
10-05-2018, 295.000, 295.000,-, 295.000, 5.364,1 maand
14-06-2018, 275.000, 275.000,-, 275.000, 5.392,6 dagen
09-05-2018, 475.000, 475.000,-, 475.000, 4.130,1 maand
25-05-2018, 425.000, 425.000,-, 425.000, 5.519,26 dagen
31-03-2018, 420.000, 435.000," -15.000 / -3,4%", 420.000, 5.060,2 maanden
08-06-2018, 265.000, 265.000,-, 265.000, 6.463,12 dagen
13-06-2018, 550.000, 550.000,-,,,
13-06-2018, 275.000, 275.000,-, 275.000, 6.875,7 dagen
29-05-2018, 715.000, 715.000,-, 715.000, 10.070,22 dagen
12-06-2018, 450.000, 450.000,-, 450.000, 6.250,8 dagen
22-05-2018, 825.000, 825.000,-, 825.000, 12.692,29 dagen
12-06-2018, 250.000, 250.000,-, 250.000, 3.571,8 dagen
07-04-2018, 450.000, 450.000,-, 450.000, 4.167,2 maanden
16-05-2018, 400.000, 400.000,-, 400.000, 6.061,1 maand
26-05-2018, 399.000, 399.000,-, 399.000, 5.620,25 dagen
10-06-2018, 275.000, 275.000,-, 275.000, 3.198,10 dagen
16-06-2018, 325.000, 325.000,-, 325.000, 5.417,4 dagen
16-06-2018, 600.000, 600.000,-,,,
16-06-2018, 400.000, 400.000,-, 400.000, 6.250,4 dagen
15-06-2018, 600.000, 600.000,-, 600.000, 5.042,5 dagen
20-06-2018, 350.000, 350.000,-,,,
20-06-2018, 340.000, 340.000,-, 340.000, 7.083,Nieuw
16-05-2018, 525.000, 525.000,-, 525.000, 5.357,1 maand
24-04-2018, 250.000, 250.000,-, 250.000, 3.247,1 maand
24-05-2018, 325.000, 325.000,-, 325.000, 5.702,27 dagen
09-06-2018, 325.000, 325.000,-, 325.000, 5.702,11 dagen
13-06-2018, 550.000, 550.000,-,,,
13-06-2018, 300.000, 300.000,-, 300.000, 5.769,7 dagen
13-06-2018, 300.000, 300.000,-, 300.000, 5.769,7 dagen
04-05-2018, 550.000, 550.000,-, 550.000, 3.929,1 maand
02-06-2018, 485.000, 485.000,-, 485.000, 3.619,18 dagen
12-06-2018, 1.049.000, 1.049.000,-, 1.049.000, 4.948,8 dagen
18-05-2018, 725.000, 725.000,-, 725.000, 5.370,1 maand
06-06-2018, 449.000, 475.000," -26.000 / -5,5%", 449.000, 7.483,14 dagen
06-06-2018, 580.000, 580.000,-, 580.000, 3.816,14 dagen
08-05-2018, 275.000, 295.000," -20.000 / -6,8%", 275.000, 3.395,1 maand
16-05-2018, 258.800, 258.800,-, 258.800, 6.019,1 maand
17-05-2018, 1.730.000, 1.730.000,-, 1.730.000, 7.300,1 maand
01-06-2018, 290.000, 290.000,-, 290.000, 5.273,19 dagen
06-06-2018, 269.000, 269.000,-, 269.000, 5.490,14 dagen
06-05-2018, 825.000, 825.000,-, 825.000, 3.873,1 maand
14-06-2018, 345.000, 345.000,-, 345.000, 4.059,6 dagen
24-05-2018, 289.000, 289.000,-, 289.000, 6.422,27 dagen
25-05-2018, 289.000, 289.000,-, 289.000, 5.255,26 dagen
08-06-2018, 375.000, 375.000,-, 375.000, 5.000,12 dagen
13-06-2018, 300.000, 300.000,-, 300.000, 5.769,7 dagen
13-06-2018, 289.000, 289.000,-, 289.000, 5.558,7 dagen
23-05-2018, 575.000, 575.000,-, 575.000, 7.012,28 dagen
29-05-2018, 355.000, 355.000,-, 355.000, 9.342,22 dagen
23-03-2018, 400.000, 400.000,-, 400.000, 2.797,2 maanden
02-05-2018, 795.000, 850.000," -55.000 / -6,5%", 795.000, 8.196,1 maand
01-06-2018, 400.000, 400.000,-, 400.000, 3.738,19 dagen
01-06-2018, 439.000, 439.000,-, 439.000, 3.885,19 dagen
02-06-2018, 350.000, 350.000,-, 350.000, 4.430,18 dagen
12-06-2018, 340.000, 340.000,-, 340.000, 6.296,8 dagen
16-05-2018, 465.000, 465.000,-, 465.000, 5.671,1 maand
16-06-2018, 355.000, 355.000,-, 355.000, 7.396,4 dagen
11-06-2018, 275.000, 275.000,-, 275.000, 3.274,9 dagen
20-04-2018, 775.000, 799.000," -24.000 / -3,0%", 775.000, 6.513,2 maanden
10-05-2018, 545.000, 545.000,-, 545.000, 7.171,1 maand
05-06-2018, 325.000, 325.000,-, 325.000, 5.909,15 dagen
05-06-2018, 489.000, 489.000,-, 489.000, 7.087,15 dagen
10-06-2018, 400.000, 400.000,-,,,
14-06-2018, 200.000, 200.000,-, 200.000, 5.882,6 dagen
14-06-2018, 200.000, 200.000,-, 200.000, 3.175,6 dagen
14-06-2018, 450.000, 450.000,-, 450.000, 5.488,6 dagen
16-05-2018, 425.000, 425.000,-, 425.000, 4.830,1 maand
13-06-2018, 859.000, 859.000,-, 859.000, 6.180,7 dagen
14-06-2018, 300.000, 300.000,-, 300.000, 6.000,6 dagen
05-04-2018, 335.000, 335.000,-, 335.000, 3.317,2 maanden
24-03-2018, 350.000, 395.000," -45.000 / -11,4%", 350.000, 2.966,2 maanden
19-05-2018, 595.000, 595.000,-, 595.000, 3.251,1 maand
19-05-2018, 550.000, 599.000," -49.000 / -8,2%", 550.000, 6.180,1 maand
